tender_id,title,url,start_date,end_date,end_time,region,city,price,categories,category_urls
85583435,ЭА. 25-937/2-012Д655350 Поставка изделий медицинского назначения,https://rostender.info/region/kabardino-balkarskaya-respublika/nalchik/85583435-tender-ea25-9372-012d655350-postavka-izdelij-medicinskogo-naznacheniya, 03.08.25,11.08.2025,09:00,Кабардино-Балкарская республика,г. Нальчик,4 894 577 ₽,"['Медицинские расходные материалы, Средства реабилитации, Одноразовый медицинский инструмент']",['https://rostender.info/tendery-medicinskie-rashodnye-materialy-sredstva-reabilitacii-odnorazovyj-medicinskij-instrument']
85583434,ЭА. 25-952/2-012Д655350 Поставка изделий медицинского назначения,https://rostender.info/region/kabardino-balkarskaya-respublika/nalchik/85583434-tender-ea25-9522-012d655350-postavka-izdelij-medicinskogo-naznacheniya, 03.08.25,11.08.2025,09:00,Кабардино-Балкарская республика,г. Нальчик,1 551 406 ₽,"['Медицинские расходные материалы, Средства реабилитации, Одноразовый медицинский инструмент']",['https://rostender.info/tendery-medicinskie-rashodnye-materialy-sredstva-reabilitacii-odnorazovyj-medicinskij-instrument']
85583426,Доставка,https://rostender.info/region/moskva-gorod/85583426-tender-dostavka, 03.08.25,04.08.2025,,Москва город,г. Москва,—,['Услуги грузовых автомобильных перевозок'],['https://rostender.info/tendery-uslugi-gruzovyh-avtomobilnyh-perevozok']
85583433,Доставка,https://rostender.info/region/moskva-gorod/85583433-tender-dostavka, 03.08.25,04.08.2025,,Москва город,г. Москва,—,['Услуги грузовых автомобильных перевозок'],['https://rostender.info/tendery-uslugi-gruzovyh-avtomobilnyh-perevozok']
85583428,Доставка,https://rostender.info/region/moskva-gorod/85583428-tender-dostavka, 03.08.25,04.08.2025,,Москва город,г. Москва,—,['Услуги грузовых автомобильных перевозок'],['https://rostender.info/tendery-uslugi-gruzovyh-avtomobilnyh-perevozok']
85583432,Доставка,https://rostender.info/region/moskva-gorod/85583432-tender-dostavka, 03.08.25,04.08.2025,,Москва город,г. Москва,—,['Услуги грузовых автомобильных перевозок'],['https://rostender.info/tendery-uslugi-gruzovyh-avtomobilnyh-perevozok']
85583427,Доставка,https://rostender.info/region/moskva-gorod/85583427-tender-dostavka, 03.08.25,04.08.2025,,Москва город,г. Москва,—,['Услуги грузовых автомобильных перевозок'],['https://rostender.info/tendery-uslugi-gruzovyh-avtomobilnyh-perevozok']
85583431,Доставка,https://rostender.info/region/moskva-gorod/85583431-tender-dostavka, 03.08.25,04.08.2025,,Москва город,г. Москва,—,['Услуги грузовых автомобильных перевозок'],['https://rostender.info/tendery-uslugi-gruzovyh-avtomobilnyh-perevozok']
85583430,Доставка,https://rostender.info/region/moskva-gorod/85583430-tender-dostavka, 03.08.25,04.08.2025,,Москва город,г. Москва,—,['Услуги грузовых автомобильных перевозок'],['https://rostender.info/tendery-uslugi-gruzovyh-avtomobilnyh-perevozok']
85583425,Доставка,https://rostender.info/region/moskva-gorod/85583425-tender-dostavka, 03.08.25,04.08.2025,,Москва город,г. Москва,—,['Услуги грузовых автомобильных перевозок'],['https://rostender.info/tendery-uslugi-gruzovyh-avtomobilnyh-perevozok']
85583429,Доставка,https://rostender.info/region/moskva-gorod/85583429-tender-dostavka, 03.08.25,04.08.2025,,Москва город,г. Москва,—,['Услуги грузовых автомобильных перевозок'],['https://rostender.info/tendery-uslugi-gruzovyh-avtomobilnyh-perevozok']
85583424,Поставка запчастей для ремонта компьютерной и оргтехники для нужд ГБУ ДО ДДТ Преображенский в 2025 г,https://rostender.info/region/sankt-peterburg-gorod/85583424-tender-postavka-zapchastej-dlya-remonta-kompyuternoj-i-orgtehniki-dlya-nujd-gbu-do-ddt-preobrajenskij-v-2025-g, 03.08.25,04.08.2025,00:03,Санкт-Петербург город,Санкт-Петербург,111 659 ₽,"['Вычислительное оборудование, Компьютеры, Серверы и их части']",['https://rostender.info/tendery-vychislitelnoe-oborudovanie-kompyutery-servery-i-ih-chasti']
85583423,Поставка канцелярских товаров,https://rostender.info/region/krasnodarskij-kraj/85583423-tender-postavka-kancelyarskih-tovarov, 03.08.25,05.08.2025,08:05,Краснодарский край,"Кущевский район,  станица Кущевская",41 035 ₽,"['Канцелярские принадлежности', 'Тара и упаковка', 'Спортивные и туристические товары, Тренажеры, Спортивные площадки']","['https://rostender.info/tendery-kancelyarskie-prinadlejnosti', 'https://rostender.info/tendery-tara-i-upakovka', 'https://rostender.info/tendery-sportivnye-i-turisticheskie-tovary-trenajery-sportivnye-ploshchadki']"
85579443,"Выполнение работ по определению работоспособности систем вентиляций и кондиционирования на ПС ""Молжаниновка"", восстановление сниженной работоспособности путем проведения корректирующих мероприятий для нужд Московских высоковольтных сетей - филиала ПАО ""Россети Московский регион""",https://rostender.info/region/moskva-gorod/85579443-tender-vypolnenie-rabot-po-opredeleniyu-rabotosposobnosti-sistem-ventilyacij-i-kondicionirovaniya-na-ps-moljaninovka-vosstanovlenie-snijennoj, 03.08.25,08.08.2025,11:00,Москва город,г. Москва,500 000 ₽,"['Проектирование, монтаж и обслуживание систем вентиляции', 'Кондиционеры и тепловое оборудование. Монтаж и обслуживание']","['https://rostender.info/tendery-proektirovanie-montaj-i-obslujivanie-sistem-ventilyacii', 'https://rostender.info/tendery-kondicionery-i-teplovoe-oborudovanie-montaj-i-obslujivanie']"
85579423,Устранение аварийной ситуации (массового падения и повреждения деревьев) на территории дирекции Технологический центр Нудоль,https://rostender.info/region/moskovskaya-oblast/klin/85579423-tender-ustranenie-avarijnoj-situacii-massovogo-padeniya-i-povrejdeniya-derevev-na-territorii-direkcii-tehnologicheskij-centr-nudol, 02.08.25,08.08.2025,23:59,Московская область,"го. Клин,  п. Нарынка",—,['Благоустройство и озеленение'],['https://rostender.info/tendery-blagoustrojstvo-i-ozelenenie']
